rank,players,division_1,division_2,division_3,division_4,mode
Supersonic Legend,2764,"1,341 - 1,623",-,-,-,1v1
Grand Champion III,2248,"1,284 - 1,298","1,300 - 1,312","1,318 - 1,335","1,337 - 1,347",1v1
Grand Champion II,4004,"1,228 - 1,238","1,240 - 1,255","1,258 - 1,274","1,277 - 1,283",1v1
Grand Champion I,8320,"1,167 - 1,178","1,180 - 1,194","1,200 - 1,214","1,217 - 1,227",1v1
Champion III,15084,"1,106 - 1,118","1,120 - 1,137","1,138 - 1,155","1,157 - 1,164",1v1
Champion II,29335,"1,054 - 1,058","1,059 - 1,077","1,078 - 1,096","1,097 - 1,105",1v1
Champion I,59032,995 - 998,"999 - 1,017","1,018 - 1,036","1,037 - 1,044",1v1
Diamond III,105831,935 - 938,939 - 957,958 - 976,977 - 982,1v1
Diamond II,198071,875 - 878,879 - 897,898 - 916,917 - 925,1v1
Diamond I,348397,815 - 818,819 - 837,838 - 856,857 - 865,1v1
Platinum III,526765,755 - 758,759 - 777,778 - 796,797 - 807,1v1
Platinum II,723832,695 - 698,699 - 717,718 - 736,737 - 753,1v1
Platinum I,802962,635 - 638,639 - 657,658 - 676,677 - 693,1v1
Gold III,663906,575 - 578,579 - 597,598 - 616,617 - 634,1v1
Gold II,492123,515 - 518,519 - 537,538 - 556,557 - 574,1v1
Gold I,308731,455 - 458,459 - 477,478 - 496,497 - 514,1v1
Silver III,162816,395 - 398,399 - 417,418 - 436,437 - 454,1v1
Silver II,80949,335 - 338,339 - 357,358 - 376,377 - 394,1v1
Silver I,36213,275 - 278,279 - 297,298 - 316,317 - 334,1v1
Bronze III,14831,213 - 218,219 - 237,238 - 256,257 - 273,1v1
Bronze II,5066,143 - 158,160 - 175,178 - 196,197 - 214,1v1
Bronze I,2325,-100 - 113,116 - 127,120 - 141,144 - 153,1v1
Supersonic Legend,2764,"1,341 - 1,623",-,-,-,2v2
Grand Champion III,2248,"1,284 - 1,298","1,300 - 1,312","1,318 - 1,335","1,337 - 1,347",2v2
Grand Champion II,4004,"1,228 - 1,238","1,240 - 1,255","1,258 - 1,274","1,277 - 1,283",2v2
Grand Champion I,8320,"1,167 - 1,178","1,180 - 1,194","1,200 - 1,214","1,217 - 1,227",2v2
Champion III,15084,"1,106 - 1,118","1,120 - 1,137","1,138 - 1,155","1,157 - 1,164",2v2
Champion II,29335,"1,054 - 1,058","1,059 - 1,077","1,078 - 1,096","1,097 - 1,105",2v2
Champion I,59032,995 - 998,"999 - 1,017","1,018 - 1,036","1,037 - 1,044",2v2
Diamond III,105831,935 - 938,939 - 957,958 - 976,977 - 982,2v2
Diamond II,198071,875 - 878,879 - 897,898 - 916,917 - 925,2v2
Diamond I,348397,815 - 818,819 - 837,838 - 856,857 - 865,2v2
Platinum III,526765,755 - 758,759 - 777,778 - 796,797 - 807,2v2
Platinum II,723832,695 - 698,699 - 717,718 - 736,737 - 753,2v2
Platinum I,802962,635 - 638,639 - 657,658 - 676,677 - 693,2v2
Gold III,663906,575 - 578,579 - 597,598 - 616,617 - 634,2v2
Gold II,492123,515 - 518,519 - 537,538 - 556,557 - 574,2v2
Gold I,308731,455 - 458,459 - 477,478 - 496,497 - 514,2v2
Silver III,162816,395 - 398,399 - 417,418 - 436,437 - 454,2v2
Silver II,80949,335 - 338,339 - 357,358 - 376,377 - 394,2v2
Silver I,36213,275 - 278,279 - 297,298 - 316,317 - 334,2v2
Bronze III,14831,213 - 218,219 - 237,238 - 256,257 - 273,2v2
Bronze II,5066,143 - 158,160 - 175,178 - 196,197 - 214,2v2
Bronze I,2325,-100 - 113,116 - 127,120 - 141,144 - 153,2v2
Supersonic Legend,2764,"1,341 - 1,623",-,-,-,3v3
Grand Champion III,2248,"1,284 - 1,298","1,300 - 1,312","1,318 - 1,335","1,337 - 1,347",3v3
Grand Champion II,4004,"1,228 - 1,238","1,240 - 1,255","1,258 - 1,274","1,277 - 1,283",3v3
Grand Champion I,8320,"1,167 - 1,178","1,180 - 1,194","1,200 - 1,214","1,217 - 1,227",3v3
Champion III,15084,"1,106 - 1,118","1,120 - 1,137","1,138 - 1,155","1,157 - 1,164",3v3
Champion II,29335,"1,054 - 1,058","1,059 - 1,077","1,078 - 1,096","1,097 - 1,105",3v3
Champion I,59032,995 - 998,"999 - 1,017","1,018 - 1,036","1,037 - 1,044",3v3
Diamond III,105831,935 - 938,939 - 957,958 - 976,977 - 982,3v3
Diamond II,198071,875 - 878,879 - 897,898 - 916,917 - 925,3v3
Diamond I,348397,815 - 818,819 - 837,838 - 856,857 - 865,3v3
Platinum III,526765,755 - 758,759 - 777,778 - 796,797 - 807,3v3
Platinum II,723832,695 - 698,699 - 717,718 - 736,737 - 753,3v3
Platinum I,802962,635 - 638,639 - 657,658 - 676,677 - 693,3v3
Gold III,663906,575 - 578,579 - 597,598 - 616,617 - 634,3v3
